variable_name,model,adstock_new,atan_new,clean_vars
ATAN(M_TOT_EXP18_SP60/150000),_exp_london,60,150000,M_TOT_EXP18_SP
ATAN(M_TOT_EXP19_SP70/450000),_exp_london,70,450000,M_TOT_EXP19_SP
ATAN(M_TOT_EXP2020_SP50/62000),_exp_london,50,62000,M_TOT_EXP2020_SP
ATAN(M_TOT_RET_SP30/830000),_exp_london,30,830000,M_TOT_RET_SP
ATAN(M_TOT_EXP18_SP60/150000),_exp_north,60,150000,M_TOT_EXP18_SP
ATAN(M_TOT_EXP19_SP70/450000),_exp_north,70,450000,M_TOT_EXP19_SP
ATAN(M_TOT_EXP2020_SP30/60000),_exp_north,30,60000,M_TOT_EXP2020_SP
ATAN(M_TOT_EXP18_SP50/180000),_exp_south,50,180000,M_TOT_EXP18_SP
ATAN(M_TOT_EXP19_SP70/450000),_exp_south,70,450000,M_TOT_EXP19_SP
ATAN(M_TOT_EXP2020_SP10/62000),_exp_south,10,62000,M_TOT_EXP2020_SP
ATAN(M_TOT_RET_SP60/600000),_exp_south,60,6.00E+05,M_TOT_RET_SP
ATAN(M_TOT_APP_SP60/10000),_rtd,60,10000,M_TOT_APP_SP
ATAN(M_TOT_EXP_SP10/1000000),_rtd,10,1.00E+06,M_TOT_EXP_SP
ATAN(M_TOT_RET_SP15/1600000),_rtd,15,1600000,M_TOT_RET_SP
ATAN(M_TOT_RTD_SP75/43000),_rtd,75,43000,M_TOT_RTD_SP
ATAN(M_DIGALL_RET_SP20/30000),_retail_drink,20,30000,M_DIGALL_RET_SP
ATAN(M_DRM_TOT_SP65/12000),_retail_drink,65,12000,M_DRM_TOT_SP
ATAN(M_EML_DELIV_VOL45/1100000),_retail_drink,45,1100000,M_EML_DELIV_VOL
ATAN(M_EML_FOOU_VOL10/300000),_retail_drink,10,3.00E+05,M_EML_FOOU_VOL
ATAN(M_OOH_RET_SP70(-1)/30000),_retail_drink,70,30000,M_OOH_RET_SP
ATAN(M_PRS_RET_SP60/50000),_retail_drink,60,50000,M_PRS_RET_SP
ATAN(M_RADAUD_RET_SP65/80000),_retail_drink,65,80000,M_RADAUD_RET_SP
ATAN(M_TOT_APP_SP60/220000),_retail_drink,60,220000,M_TOT_APP_SP
ATAN(M_TOT_RTD_SP60(-1)/14000),_retail_drink,60,14000,M_TOT_RTD_SP
ATAN(M_TVVSPONS_RET_SEC40/11700),_retail_drink,40,11700,M_TVVSPONS_RET_SEC
ATAN(M_VOD_RET_SP25/15000),_retail_drink,25,15000,M_VOD_RET_SP
ATAN(M_DIGALL_RET_SP20/90000),_retail_food,20,90000,M_DIGALL_RET_SP
ATAN(M_EML_DELIV_VOL45/1100000),_retail_food,45,1100000,M_EML_DELIV_VOL
ATAN(M_EML_DELROLL_VOL45/1100000),_retail_food,45,1100000,M_EML_DELROLL_VOL
ATAN(M_EML_FOOU_VOL10/300000),_retail_food,10,3.00E+05,M_EML_FOOU_VOL
ATAN(M_OOH_RET_SP40(-1)/30000),_retail_food,40,30000,M_OOH_RET_SP
ATAN(M_PRS_RET_SP60/20000),_retail_food,60,20000,M_PRS_RET_SP
ATAN(M_RADAUD_RET_SP65/80000),_retail_food,65,80000,M_RADAUD_RET_SP
ATAN(M_TOT_APP_SP65/70000),_retail_food,65,70000,M_TOT_APP_SP
ATAN(M_TVVSPONS_RET_SEC35/2500),_retail_food,35,2500,M_TVVSPONS_RET_SEC
ATAN(M_VOD_RET_SP35/31000),_retail_food,35,31000,M_VOD_RET_SP
ATAN(M_DIGALL_RET_SP10/400000),_retail_other,10,4.00E+05,M_DIGALL_RET_SP
ATAN(M_DRM_TOT_SP10/12000),_retail_other,10,12000,M_DRM_TOT_SP
ATAN(M_EML_DELROLL_VOL10/100000),_retail_other,10,1.00E+05,M_EML_DELROLL_VOL
ATAN(M_EML_FOOU_VOL10/300000),_retail_other,10,3.00E+05,M_EML_FOOU_VOL
ATAN(M_OOH_RET_SP70(-1)/50000),_retail_other,70,50000,M_OOH_RET_SP
ATAN(M_PRS_RET_SP70/70000),_retail_other,70,70000,M_PRS_RET_SP
ATAN(M_RADAUD_RET_SP50/100000),_retail_other,50,1.00E+05,M_RADAUD_RET_SP
ATAN(M_TOT_APP_SP30/10000),_retail_other,30,10000,M_TOT_APP_SP
ATAN(M_TOT_RTD_SP10/171000),_retail_other,10,171000,M_TOT_RTD_SP
ATAN(M_VOD_RET_SP65/230000),_retail_other,65,230000,M_VOD_RET_SP
ATAN(M_TOT_APP_SP50/200000),_app_downloads,50,2.00E+05,M_TOT_APP_SP
ATAN(M_TOT_RET_SP20/940000),_app_downloads,20,940000,M_TOT_RET_SP
M_EML_FOOU_VOL,_app_downloads,0,NA,M_EML_FOOU_VOL
